-0.0406617 -0.123851 2.43327
-0.0438121 0.179509 2.40046
-0.0469212 0.473693 2.35461
-0.0341755 0.635116 2.3206
-0.213417 0.363481 2.38866
-0.257961 0.115024 2.54202
-0.262721 -0.0965488 2.62297
-0.282048 -0.131588 2.62316
0.122486 0.34995 2.33688
0.180301 0.122209 2.27764
0.222278 -0.0583679 2.12848
0.217459 -0.130415 2.06073
-0.117487 -0.119931 2.40439
-0.139856 -0.502154 2.37514
-0.141083 -0.883928 2.39418
-0.148376 -0.943518 2.27077
0.0372661 -0.124134 2.39028
0.0275152 -0.448382 2.51704
0.0112449 -0.820712 2.71593
0.0512287 -0.908081 2.60942
-0.0461771 0.401451 2.36835
-0.282828 -0.173539 2.61854
-0.264497 -0.142368 2.58775
0.220429 -0.165079 2.03775
0.240959 -0.119391 2.0259
